ID,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
W0001,7,0.27,0.36,20.7,0.045,45,170,1.001,3,0.45,8.8,2
W0002,6.3,0.3,0.34,1.6,0.049,14,132,0.994,3.3,,9.5,2
W0003,8.1,0.28,0.4,6.9,0.05,30,97,0.9951,3.26,,10.1,2
W0004,7.2,0.23,0.32,8.5,0.058,47,186,0.9956,3.19,0.4,9.9,2
W0005,7.2,0.23,0.32,8.5,0.058,47,186,0.9956,3.19,0.4,9.9,2
W0006,8.1,0.28,0.4,6.9,0.05,30,97,0.9951,3.26,0.44,10.1,2
W0007,6.2,0.32,,7,0.045,30,136,0.9949,,0.47,9.6,2
W0008,7,0.27,0.36,20.7,0.045,45,170,1.001,3,0.45,8.8,2
W0009,6.3,0.3,0.34,1.6,0.049,14,132,0.994,3.3,,9.5,2
W0010,8.1,0.22,0.43,1.5,0.044,28,129,0.9938,3.22,0.45,11,2
W0011,8.1,0.27,0.41,1.45,0.033,11,63,0.9908,2.99,0.56,12,1
W0012,8.6,0.23,0.4,4.2,0.035,17,109,0.9947,,0.53,9.7,1
W0013,7.9,0.18,0.37,1.2,0.04,16,75,0.992,3.18,0.63,10.8,1
W0014,6.6,0.16,0.4,1.5,0.044,48,143,0.9912,,0.52,12.4,2
W0015,8.3,0.42,0.62,19.25,0.04,41,172,1.0002,2.98,0.67,9.7,1
W0016,6.6,0.17,0.38,1.5,0.032,28,112,0.9914,3.25,0.55,11.4,2
W0017,6.3,0.48,0.04,1.1,0.046,30,99,0.9928,3.24,0.36,9.6,2
W0018,6.2,0.66,0.48,1.2,0.029,29,75,0.9892,3.33,0.39,12.8,2
W0019,7.4,0.34,0.42,1.1,0.033,17,171,0.9917,3.12,0.53,11.3,2
W0020,6.5,0.31,0.14,7.5,0.044,34,133,0.9955,3.22,0.5,9.5,1
W0021,6.2,0.66,0.48,1.2,0.029,29,75,0.9892,3.33,0.39,12.8,2
W0022,6.4,0.31,0.38,2.9,0.038,19,102,0.9912,,0.35,11,2
W0023,6.8,0.26,0.42,1.7,0.049,41,122,0.993,3.47,0.48,10.5,2
W0024,7.6,0.67,0.14,1.5,0.074,25,168,0.9937,3.05,,9.3,1
W0025,6.6,0.27,,1.3,0.052,16,142,0.9951,3.42,0.47,10,2
W0026,7,0.25,0.32,9,0.046,56,245,0.9955,3.25,0.5,10.4,2
W0027,6.9,0.24,0.35,1,0.052,35,146,0.993,3.45,0.44,10,2
W0028,7,0.28,0.39,8.7,0.051,32,141,0.9961,,0.53,10.5,2
W0029,7.4,0.27,0.48,1.1,0.047,17,132,0.9914,3.19,0.49,11.6,2
W0030,7.2,0.32,,2,0.033,37,114,0.9906,3.1,0.71,12.3,2
W0031,8.5,0.24,0.39,10.4,0.044,20,142,0.9974,3.2,0.53,10,2
W0032,8.3,0.14,0.34,1.1,0.042,7,47,0.9934,3.47,0.4,10.2,2
W0033,7.4,0.25,0.36,2.05,0.05,31,100,0.992,3.19,0.44,10.8,2
W0034,6.2,0.12,,1.5,0.045,43,117,0.9939,,0.51,9,2
W0035,5.8,0.27,0.2,14.95,0.044,22,179,0.9962,3.37,,10.2,1
W0036,7.3,0.28,0.43,1.7,0.08,21,123,0.9905,,,12.8,1
W0037,6.5,0.39,0.23,5.4,0.051,25,149,0.9934,,0.35,10,1
W0038,7,0.33,0.32,1.2,0.053,38,138,0.9906,3.13,0.28,11.2,2
W0039,7.3,0.24,,17.95,0.057,45,149,0.9999,,0.36,8.6,1
W0040,7.3,0.24,0.39,17.95,0.057,45,149,0.9999,3.21,0.36,8.6,1
W0041,6.7,0.23,0.39,2.5,0.172,63,158,0.9937,3.11,0.36,9.4,2
W0042,6.7,0.24,0.39,2.9,0.173,63,157,0.9937,3.1,0.34,9.4,2
W0043,7,0.31,0.26,7.4,0.069,28,160,0.9954,3.13,0.46,9.8,2
W0044,6.6,0.24,0.27,1.4,0.057,33,152,0.9934,3.22,,9.5,2
W0045,6.7,0.23,0.26,1.4,0.06,33,154,0.9934,3.24,0.56,9.5,2
W0046,7.4,0.18,0.31,1.4,0.058,38,167,0.9931,3.16,0.53,10,2
W0047,6.2,0.45,0.26,4.4,0.063,63,206,0.994,,0.52,9.8,1
W0048,6.2,0.46,0.25,4.4,0.066,62,207,0.9939,3.25,,9.8,1
W0049,7,0.31,,7.4,0.069,28,160,0.9954,,0.46,9.8,2
W0050,6.9,0.19,0.35,5,0.067,32,150,0.995,3.36,0.48,9.8,1
W0051,7.2,0.19,0.31,1.6,0.062,31,173,0.9917,3.35,0.44,11.7,2
W0052,6.6,0.25,0.29,1.1,0.068,39,124,0.9914,3.34,0.58,11,2
W0053,6.2,0.16,0.33,1.1,0.057,21,82,0.991,,0.46,10.9,2
W0054,6.4,0.18,0.35,1,0.045,39,108,0.9911,3.31,0.35,10.9,2
W0055,6.8,0.2,0.59,0.9,0.147,38,132,0.993,3.05,,9.1,2
W0056,6.9,0.25,0.35,1.3,0.039,29,191,0.9908,3.13,0.52,11,2
W0057,7.2,0.21,0.34,11.9,0.043,37,213,0.9962,3.09,,9.6,2
W0058,6,0.19,0.26,12.4,0.048,50,147,0.9972,3.3,0.36,8.9,2
W0059,6.6,0.38,,4.6,0.044,25,78,0.9931,3.11,0.38,10.2,2
W0060,7.4,0.2,0.36,1.2,0.038,44,111,0.9926,3.36,0.34,9.9,2
W0061,6.8,0.22,0.24,4.9,0.092,30,123,0.9951,3.03,0.46,8.6,2
W0062,6,0.19,0.26,12.4,0.048,50,147,0.9972,3.3,0.36,8.9,2
W0063,7,0.47,0.07,1.1,0.035,17,151,0.991,3.02,0.34,10.5,1
W0064,6.6,0.38,0.15,4.6,0.044,25,78,0.9931,3.11,0.38,10.2,2
W0065,7.2,0.24,0.27,1.4,0.038,31,122,0.9927,3.15,0.46,10.3,2
W0066,6.2,0.35,0.03,1.2,0.064,29,120,0.9934,,0.54,9.1,1
W0067,6.4,0.26,0.24,6.4,0.04,27,124,0.9903,3.22,0.49,12.6,2
W0068,6.7,0.25,0.13,1.2,0.041,81,174,0.992,3.14,0.42,9.8,1
W0069,6.7,0.23,0.31,2.1,0.046,30,96,0.9926,3.33,0.64,10.7,2
W0070,7.4,0.24,,10.1,0.05,21,105,0.9962,,0.35,9.5,1
W0071,6.2,0.27,0.43,7.8,0.056,48,244,0.9956,3.1,0.51,9,2
W0072,6.8,0.3,0.23,4.6,0.061,50.5,238.5,0.9958,3.32,0.6,9.5,1
W0073,6,0.27,,4.8,0.063,31,201,0.9964,3.69,,10,1
W0074,8.6,0.23,0.46,1,0.054,9,72,0.9941,2.95,,9.1,2
W0075,6.7,0.23,0.31,2.1,0.046,30,96,0.9926,3.33,0.64,10.7,2
W0076,7.4,0.24,0.29,10.1,0.05,21,105,0.9962,3.13,,9.5,1
W0077,7.1,0.18,0.36,1.4,0.043,31,87,0.9898,3.26,0.37,12.7,2
W0078,7,0.32,0.34,1.3,0.042,20,69,0.9912,3.31,0.65,12,2
W0079,7.4,0.18,0.3,8.8,0.064,26,103,0.9961,2.94,,9.3,1
W0080,6.7,0.54,0.28,5.4,0.06,21,105,0.9949,3.27,0.37,9,1
W0081,6.8,0.22,0.31,1.4,0.053,34,114,0.9929,3.39,0.77,10.6,2
W0082,7.1,0.2,0.34,16,0.05,51,166,0.9985,3.21,0.6,9.2,2
W0083,7.1,0.34,0.2,6.1,0.063,47,164,0.9946,3.17,0.42,10,1
W0084,7.3,0.22,0.3,8.2,0.047,42,207,0.9966,3.33,0.46,9.5,2
W0085,7.1,0.43,0.61,11.8,0.045,54,155,0.9974,3.11,0.45,8.7,1
W0086,7.1,0.44,0.62,11.8,0.044,52,152,0.9975,3.12,0.46,8.7,2
W0087,7.2,0.39,0.63,11,0.044,55,156,0.9974,3.09,0.44,8.7,2
W0088,6.8,0.25,0.31,13.3,0.05,69,202,0.9972,,0.48,9.7,2
W0089,7.1,0.43,0.61,11.8,0.045,54,155,0.9974,3.11,0.45,8.7,1
W0090,7.1,0.44,0.62,11.8,0.044,52,152,0.9975,3.12,0.46,8.7,2
W0091,7.2,0.39,0.63,11,0.044,55,156,0.9974,3.09,0.44,8.7,2
W0092,6.1,0.27,0.43,7.5,0.049,65,243,0.9957,,0.47,9,1
W0093,6.9,0.24,0.33,1.7,0.035,47,136,0.99,3.26,0.4,12.6,2
W0094,6.9,0.21,,1.8,0.034,48,136,0.9899,,0.41,12.6,2
W0095,7.5,0.17,0.32,1.7,0.04,51,148,0.9916,3.21,0.44,11.5,2
W0096,7.1,0.26,0.29,12.4,0.044,62,240,0.9969,3.04,0.42,9.2,2
